ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
7670.0,10.0,10319.0,1700.0,63.0,4.0,557.0,1177.0
6895.0,16.0,9795.0,1563.0,72.0,,517.0,1042.0
7584.0,8.0,10354.0,1528.0,57.0,3.0,554.0,1277.0
8699.0,6.0,12032.0,1787.0,69.0,,674.0,1364.0
7697.0,14.0,10386.0,1699.0,75.0,1.0,533.0,1180.0
7213.0,13.0,9990.0,1489.0,64.0,1.0,490.0,1125.0
7441.0,18.0,9658.0,1532.0,62.0,3.0,471.0,1104.0
8630.0,14.0,10810.0,2003.0,89.0,2.0,563.0,1228.0
8055.0,17.0,9775.0,1779.0,69.0,1.0,550.0,1093.0
8072.0,10.0,9778.0,1713.0,75.0,2.0,570.0,1182.0
7924.0,10.0,9387.0,1714.0,111.0,2.0,528.0,1169.0
8456.0,7.0,10614.0,1874.0,58.0,1.0,575.0,1162.0
8398.0,17.0,10394.0,1816.0,70.0,1.0,556.0,1264.0
7939.0,13.0,9863.0,1872.0,73.0,2.0,586.0,1172.0
7776.0,13.0,10209.0,1669.0,76.0,3.0,556.0,1222.0
7406.0,10.0,9372.0,1583.0,69.0,,508.0,1067.0
7837.0,11.0,9750.0,1842.0,93.0,1.0,528.0,1095.0
8117.0,10.0,10579.0,1878.0,84.0,,567.0,1181.0
8184.0,21.0,10647.0,1850.0,99.0,,604.0,1293.0
8398.0,16.0,10137.0,1902.0,96.0,,557.0,1225.0
8652.0,20.0,11232.0,2095.0,108.0,2.0,608.0,1336.0
7233.0,9.0,9805.0,1824.0,61.0,1.0,554.0,1211.0
8265.0,8.0,11172.0,1894.0,76.0,2.0,623.0,1334.0
7823.0,11.0,10585.0,2104.0,72.0,1.0,580.0,1173.0
8043.0,13.0,10752.0,1897.0,66.0,1.0,593.0,1228.0
7792.0,13.0,10218.0,1816.0,69.0,2.0,500.0,1206.0
7374.0,19.0,9364.0,1687.0,84.0,2.0,527.0,1122.0
6862.0,14.0,8657.0,1544.0,52.0,,529.0,992.0
7334.0,9.0,10051.0,1674.0,61.0,2.0,538.0,1117.0
7719.0,4.0,9100.0,1745.0,70.0,1.0,544.0,1110.0
6970.0,11.0,8315.0,1599.0,76.0,2.0,512.0,954.0
7038.0,11.0,8418.0,1483.0,73.0,4.0,514.0,1011.0
7190.0,24.0,9064.0,1695.0,76.0,1.0,513.0,1088.0
7117.0,7.0,9119.0,1621.0,73.0,1.0,519.0,1014.0
7200.0,14.0,8645.0,1742.0,89.0,1.0,490.0,918.0
7683.0,20.0,9457.0,1811.0,90.0,1.0,507.0,1087.0
7076.0,16.0,9214.0,1686.0,97.0,2.0,520.0,1113.0
7502.0,20.0,9279.0,1769.0,92.0,4.0,536.0,1129.0
7775.0,12.0,9452.0,1903.0,102.0,3.0,563.0,1152.0
7318.0,16.0,9247.0,1678.0,86.0,2.0,534.0,1158.0
6950.0,18.0,8494.0,1501.0,91.0,3.0,490.0,990.0
6667.0,10.0,8345.0,1553.0,74.0,1.0,465.0,991.0
6430.0,9.0,8995.0,1516.0,67.0,,499.0,1037.0
6787.0,13.0,8275.0,1542.0,86.0,1.0,463.0,977.0
6385.0,7.0,8401.0,1378.0,65.0,3.0,442.0,1018.0
7260.0,10.0,9288.0,1625.0,115.0,1.0,528.0,1086.0
6259.0,11.0,7777.0,1468.0,83.0,1.0,475.0,917.0
6138.0,12.0,8321.0,1448.0,96.0,2.0,443.0,971.0
6474.0,9.0,8789.0,1451.0,87.0,1.0,472.0,997.0
6082.0,13.0,7796.0,1569.0,91.0,3.0,428.0,920.0
5980.0,18.0,8236.0,1245.0,61.0,,428.0,977.0
5444.0,7.0,7380.0,1394.0,73.0,,479.0,844.0
6716.0,9.0,7643.0,1549.0,89.0,,439.0,1009.0
6385.0,27.0,7894.0,1416.0,87.0,,442.0,898.0
5588.0,12.0,7239.0,1185.0,68.0,2.0,395.0,804.0
5874.0,11.0,6771.0,1433.0,66.0,2.0,417.0,853.0
5755.0,9.0,7009.0,1397.0,63.0,1.0,416.0,831.0
5716.0,10.0,6971.0,1338.0,70.0,,418.0,873.0
6407.0,12.0,8171.0,1532.0,67.0,3.0,487.0,991.0
5758.0,13.0,7430.0,1335.0,60.0,2.0,389.0,820.0
5747.0,6.0,7420.0,1417.0,77.0,2.0,471.0,846.0
5280.0,8.0,6429.0,1122.0,63.0,3.0,336.0,730.0
5677.0,10.0,7138.0,1312.0,101.0,,492.0,862.0
4867.0,6.0,6275.0,1164.0,68.0,1.0,367.0,729.0
5669.0,4.0,6672.0,1329.0,77.0,,410.0,759.0
5143.0,9.0,6229.0,1262.0,70.0,,353.0,759.0
5903.0,9.0,7476.0,1455.0,88.0,1.0,601.0,933.0
5805.0,8.0,7294.0,1383.0,85.0,2.0,479.0,910.0
6251.0,4.0,7467.0,1461.0,91.0,1.0,513.0,958.0
5761.0,9.0,6651.0,1671.0,75.0,1.0,441.0,781.0
5818.0,6.0,7077.0,1310.0,74.0,2.0,419.0,850.0
5732.0,5.0,6879.0,1416.0,74.0,2.0,453.0,897.0
5270.0,15.0,6475.0,1315.0,62.0,3.0,414.0,764.0
5501.0,14.0,6883.0,1348.0,88.0,,384.0,842.0
5258.0,13.0,6352.0,1177.0,101.0,3.0,387.0,760.0
5228.0,8.0,6939.0,1356.0,58.0,,399.0,866.0
5155.0,15.0,6433.0,1313.0,62.0,,398.0,802.0
4540.0,11.0,5662.0,1219.0,68.0,1.0,382.0,654.0
5013.0,8.0,6084.0,1265.0,73.0,,406.0,714.0
4807.0,7.0,5768.0,1195.0,65.0,2.0,418.0,704.0
4921.0,9.0,6225.0,1125.0,84.0,1.0,413.0,774.0
5280.0,7.0,6724.0,1338.0,78.0,2.0,406.0,830.0
4110.0,13.0,5553.0,1189.0,55.0,1.0,361.0,644.0
4602.0,11.0,5897.0,1224.0,71.0,,392.0,754.0
5184.0,4.0,6465.0,1508.0,56.0,2.0,492.0,844.0
4455.0,12.0,5994.0,1114.0,48.0,3.0,396.0,700.0
4381.0,9.0,5045.0,1251.0,64.0,2.0,336.0,642.0
4653.0,10.0,6299.0,1383.0,64.0,1.0,423.0,722.0
4474.0,7.0,5869.0,1392.0,72.0,3.0,405.0,695.0
4234.0,7.0,5529.0,1053.0,62.0,2.0,379.0,655.0
4452.0,5.0,4979.0,1010.0,41.0,,347.0,683.0
5133.0,10.0,6676.0,1361.0,70.0,1.0,404.0,803.0
4092.0,9.0,5364.0,1183.0,69.0,1.0,342.0,598.0
5032.0,7.0,5961.0,1148.0,58.0,2.0,398.0,673.0
