ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO,GIOVANI DAMICO,JERÔNIMO RODRIGUES SOUZA,JOÃO INÁCIO RIBEIRO ROMA NETO,KLEBER ROSA DE SOUZA,MARCELO MILLET OLIVEIRA,VOTO BRANCO,VOTO NULO
1764.0,4.0,1494.0,256.0,26.0,,149.0,291.0
1236.0,2.0,1699.0,287.0,14.0,,119.0,226.0
343.0,1.0,466.0,29.0,5.0,,24.0,61.0
3955.0,6.0,3219.0,562.0,35.0,,279.0,674.0
1307.0,1.0,1099.0,227.0,9.0,,87.0,177.0
1676.0,2.0,1370.0,335.0,34.0,1.0,98.0,236.0
1105.0,1.0,851.0,153.0,12.0,2.0,76.0,182.0
2428.0,3.0,1892.0,401.0,13.0,1.0,143.0,340.0
3007.0,4.0,3259.0,633.0,41.0,1.0,242.0,466.0
6108.0,15.0,5181.0,1105.0,122.0,4.0,442.0,862.0
6362.0,26.0,4106.0,1774.0,342.0,2.0,207.0,379.0
3200.0,6.0,2976.0,442.0,47.0,3.0,230.0,477.0
1268.0,2.0,965.0,187.0,17.0,2.0,79.0,174.0
3315.0,14.0,2391.0,587.0,153.0,1.0,140.0,313.0
2254.0,2.0,1314.0,328.0,69.0,,110.0,273.0
2413.0,1.0,1837.0,338.0,33.0,,199.0,462.0
5344.0,22.0,3530.0,1196.0,189.0,,248.0,479.0
3289.0,2.0,3129.0,418.0,58.0,3.0,256.0,527.0
1500.0,1.0,1597.0,245.0,18.0,,99.0,245.0
5265.0,6.0,3983.0,858.0,112.0,3.0,400.0,917.0
4293.0,6.0,3297.0,736.0,118.0,6.0,300.0,748.0
3353.0,4.0,2455.0,882.0,41.0,,206.0,416.0
3780.0,7.0,2910.0,717.0,68.0,1.0,290.0,618.0
5454.0,9.0,3985.0,738.0,122.0,2.0,362.0,859.0
1183.0,2.0,840.0,184.0,17.0,1.0,98.0,152.0
2754.0,10.0,1679.0,553.0,111.0,1.0,123.0,236.0
1880.0,11.0,1299.0,478.0,115.0,2.0,46.0,116.0
4414.0,11.0,2826.0,866.0,152.0,,188.0,394.0
3723.0,21.0,2438.0,712.0,186.0,3.0,128.0,313.0
1260.0,1.0,821.0,270.0,61.0,,36.0,108.0
1103.0,5.0,727.0,236.0,83.0,1.0,34.0,73.0
2725.0,6.0,1717.0,641.0,127.0,,86.0,185.0
1297.0,4.0,1472.0,205.0,32.0,,105.0,160.0
