ACM_NETO,GIOVANI_DAMICO,JERONIMO_SOUZA,JOAO_ROMA,KLEBER_SOUZA,MARCELO_OLIVERA,BRANCOS,NULOS
8266.0,10.0,16357.0,1051.0,116.0,0.0,807.0,1795.0
18222.0,21.0,19415.0,1664.0,189.0,4.0,1054.0,2201.0
20293.0,17.0,22752.0,2471.0,117.0,4.0,1170.0,2340.0
12792.0,17.0,14771.0,2989.0,71.0,1.0,537.0,1771.0
7843.0,15.0,11370.0,1798.0,53.0,3.0,366.0,1318.0
6191.0,18.0,10923.0,1662.0,46.0,1.0,342.0,1169.0
6502.0,14.0,7877.0,1515.0,58.0,2.0,477.0,1059.0
7272.0,7.0,9609.0,1963.0,19.0,0.0,409.0,1165.0
5656.0,3.0,7694.0,2021.0,13.0,1.0,382.0,1014.0
11570.0,29.0,21179.0,1963.0,85.0,2.0,812.0,2306.0
19515.0,28.0,10834.0,5260.0,126.0,2.0,1141.0,1674.0
16842.0,11.0,19435.0,2492.0,190.0,1.0,1003.0,1797.0
20373.0,33.0,21593.0,6893.0,275.0,3.0,1405.0,2313.0
14534.0,12.0,30780.0,2244.0,161.0,3.0,1252.0,2964.0
8835.0,9.0,16060.0,1561.0,74.0,2.0,1078.0,2013.0
9527.0,6.0,11892.0,1391.0,32.0,6.0,649.0,1587.0
8796.0,17.0,18471.0,2085.0,30.0,2.0,560.0,2179.0
9668.0,13.0,12874.0,1442.0,21.0,2.0,363.0,1562.0
4050.0,4.0,8803.0,2121.0,12.0,3.0,391.0,1015.0
18414.0,15.0,20058.0,2387.0,64.0,11.0,987.0,1951.0
22516.0,28.0,37110.0,5634.0,245.0,7.0,1778.0,5202.0
12213.0,15.0,15671.0,2363.0,53.0,4.0,546.0,1875.0
3519.0,14.0,11260.0,1435.0,16.0,1.0,395.0,1251.0
5753.0,7.0,11527.0,4293.0,31.0,3.0,646.0,1536.0
37281.0,74.0,34993.0,13661.0,1102.0,9.0,3202.0,5361.0
34773.0,71.0,32303.0,12142.0,1036.0,13.0,2332.0,4283.0
37918.0,75.0,41007.0,12346.0,863.0,11.0,3578.0,6408.0
36180.0,55.0,39527.0,11053.0,818.0,10.0,3354.0,5884.0
9080.0,5.0,18747.0,724.0,20.0,0.0,338.0,1375.0
9597.0,10.0,18254.0,919.0,53.0,3.0,634.0,1645.0
6923.0,13.0,17635.0,1446.0,66.0,0.0,504.0,1364.0
7456.0,8.0,15090.0,1421.0,41.0,1.0,451.0,1760.0
16805.0,10.0,18775.0,1338.0,171.0,6.0,1108.0,1821.0
40990.0,88.0,37012.0,8354.0,588.0,10.0,3975.0,6015.0
7903.0,9.0,5858.0,3014.0,33.0,2.0,358.0,899.0
11923.0,7.0,17406.0,3878.0,14.0,1.0,585.0,1987.0
6119.0,9.0,19081.0,910.0,28.0,1.0,691.0,1924.0
13440.0,13.0,16847.0,2135.0,46.0,2.0,1117.0,2319.0
34843.0,44.0,27187.0,5750.0,374.0,6.0,2179.0,4233.0
38121.0,55.0,31331.0,7038.0,463.0,3.0,2466.0,4539.0
16118.0,24.0,14101.0,8528.0,81.0,6.0,1036.0,2115.0
11594.0,11.0,25058.0,1813.0,39.0,2.0,611.0,1864.0
11854.0,11.0,20748.0,1035.0,42.0,1.0,565.0,1354.0
3691.0,10.0,19083.0,1317.0,10.0,0.0,549.0,1642.0
4215.0,14.0,14637.0,506.0,42.0,3.0,438.0,1022.0
9820.0,19.0,16498.0,1384.0,30.0,1.0,407.0,1730.0
19283.0,25.0,23789.0,1606.0,340.0,5.0,1513.0,2452.0
6528.0,14.0,9006.0,591.0,27.0,1.0,524.0,916.0
53832.0,105.0,46821.0,11948.0,1144.0,9.0,3454.0,5990.0
12637.0,31.0,21970.0,3387.0,125.0,3.0,1478.0,2062.0
4451.0,6.0,8065.0,1073.0,9.0,1.0,344.0,880.0
26781.0,70.0,26827.0,20520.0,205.0,9.0,3070.0,4211.0
8844.0,5.0,14001.0,1351.0,67.0,1.0,589.0,1235.0
13561.0,27.0,17684.0,2330.0,113.0,0.0,1291.0,2100.0
19020.0,19.0,16201.0,2765.0,186.0,5.0,1517.0,2523.0
5803.0,9.0,6604.0,1740.0,13.0,0.0,369.0,777.0
9048.0,26.0,14191.0,4135.0,38.0,2.0,1012.0,1954.0
8997.0,13.0,12351.0,4120.0,35.0,1.0,957.0,1766.0
8255.0,6.0,14353.0,1131.0,15.0,3.0,758.0,1113.0
13533.0,15.0,16908.0,2385.0,37.0,1.0,854.0,1949.0
17112.0,13.0,14611.0,2221.0,158.0,2.0,1232.0,1990.0
8313.0,12.0,15449.0,1568.0,36.0,0.0,530.0,1948.0
4203.0,6.0,15073.0,934.0,10.0,5.0,216.0,1014.0
7378.0,10.0,13169.0,1265.0,37.0,1.0,573.0,1458.0
15910.0,16.0,17423.0,2184.0,30.0,0.0,747.0,2347.0
9287.0,18.0,14030.0,2336.0,174.0,2.0,540.0,1458.0
8355.0,5.0,13557.0,1586.0,14.0,0.0,432.0,1010.0
12761.0,18.0,12592.0,1592.0,121.0,3.0,1343.0,2080.0
7286.0,7.0,8830.0,1675.0,17.0,0.0,296.0,1078.0
16446.0,43.0,16849.0,3640.0,212.0,2.0,1099.0,2552.0
15316.0,36.0,13668.0,10696.0,166.0,8.0,1378.0,2159.0
21266.0,21.0,12717.0,16957.0,128.0,1.0,2082.0,1905.0
